ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
355715,202005,85,132.0
355720,202005,642,3704.0
355730,202005,332,2553.0
410010,202005,377,4177.0
410020,202005,366,515.0
410030,202005,759,9612.0
410040,202005,3866,40362.0
410045,202005,266,2248.0
410050,202005,604,5164.0
410060,202005,715,5755.0
410070,202005,628,7032.0
410080,202005,466,3557.0
410090,202005,492,7495.0
410100,202005,324,3858.0
410105,202005,93,872.0
410110,202005,1034,11300.0
410115,202005,162,1325.0
410120,202005,1265,5641.0
410130,202005,625,3834.0
410140,202005,2879,27514.0
410150,202005,2474,43132.0
410160,202005,1183,9243.0
410165,202005,380,1420.0
410170,202005,422,1566.0
410180,202005,4945,81276.0
410185,202005,121,173.0
410190,202005,690,6404.0
410200,202005,823,9839.0
410210,202005,775,7692.0
410220,202005,105,1125.0
410230,202005,647,8405.0
410240,202005,1068,6867.0
